;Worldwide Navigation Database
;Exported via DFD v1.0 26.0513
;Software copyright (c) 2026 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2026 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 2607 (09/JUL/2026 - 06/AUG/2026) - Ver.1
;------------------------------------------------------
AAARG	32.693964	-78.051294	14	Y291	H	JRDAN	33.044583	-77.931561	18000	Y	RAZZL	31.525506	-78.443369	18000	Y
AADCO	39.784819	-112.461825	14	V257	L	VERNE	40.188139	-112.424814	13000	Y	LOLIC	39.718319	-112.467889	11500	Y
AAE	23.068694	72.628750	14	G451	B	APANO	21.583889	72.982778	0	N	SASRO	24.071389	70.999722	7500	Y
AAE	23.068694	72.628750	14	G472	B	AMVIG	22.853611	73.375833	7500	Y	VASLA	23.521389	70.999722	7500	N
AAE	23.068694	72.628750	14	J50	B	MIBOG	25.153611	72.900556	11000	Y				0	N
AAE	23.068694	72.628750	14	L639	H	AGRIX	23.156667	74.340833	29000	Y	LAXOM	22.808333	70.833333	29000	Y
AAE	23.068694	72.628750	14	N893	H				0	N	VASLA	23.521389	70.999722	28000	N
AAE	23.068694	72.628750	14	N895	H	AMVIG	22.853611	73.375833	26000	Y	SASRO	24.071389	70.999722	26000	Y
AAE	23.068694	72.628750	14	Q3	H	UUD	24.614722	73.893806	29000	Y				0	N
AAE	23.068694	72.628750	14	Q4	H	ORAPI	23.571667	73.389722	29000	N				0	N
AAE	23.068694	72.628750	14	R458	B	BVR	21.750639	72.189667	7500	Y				0	N
AAE	23.068694	72.628750	14	W135	B				0	N	LAXOM	22.808333	70.833333	7500	Y
AAE	23.068694	72.628750	14	W162	B				0	N	BUDVI	22.470000	72.203056	11000	N
AAE	23.068694	72.628750	14	W40	B	BODAR	22.605278	74.221389	7500	Y				0	N
AAE	23.068694	72.628750	14	W58	B	UGISO	24.358333	73.685833	7500	Y				0	N
AAE	23.068694	72.628750	14	W62	B				0	N	HSR	22.368889	71.031111	7500	Y
AAE	23.068694	72.628750	14	W63	B				0	N	KS	21.318083	70.261639	7500	Y
AAE	23.068694	72.628750	14	W97	B	QQZ	22.332806	73.225889	0	Y				0	N
AAE	23.068694	72.628750	14	Z8	H	BEPDA	24.024722	72.416667	29000	Y				0	N
AAGIN	40.583114	-88.313911	14	T325	L	SMARS	41.127272	-88.860617	3100	Y	SLONI	40.185108	-87.921078	3000	Y
AAL	57.103742	9.995581	14	L621	B	LAPMA	56.625833	11.347500	3500	Y	LAGUM	57.455556	9.268333	3500	Y
AAL	57.103742	9.995581	14	M725	B	ADSEN	56.144722	10.883889	3500	Y				0	N
AAL	57.103742	9.995581	14	N607	B	KUVUS	57.338056	11.000000	9500	Y	LASRO	56.073056	8.813889	9500	Y
AAL	57.103742	9.995581	14	N866	B	DETNA	57.587611	11.069056	28500	Y	KEMEG	56.720833	8.872500	3500	Y
AAL	57.103742	9.995581	14	P615	B	ARTOR	58.334419	10.148983	9500	Y	RADIS	56.541667	9.995000	3500	Y
AAL	57.103742	9.995581	14	P621	B	NERDO	57.887942	9.228278	9500	Y				0	N
AAL	57.103742	9.995581	14	P622	B	RETKA	57.991522	9.438617	11500	Y	INTET	56.226389	9.411389	9500	Y
AAL	57.103742	9.995581	14	P990	B	ASLID	56.346389	11.343889	3500	N	KOVIK	57.559700	8.574142	3500	Y
AAL	57.103742	9.995581	14	T138	H				0	N	TINAC	56.250822	5.000000	24500	Y
AAL	57.103742	9.995581	14	T551	B	BINRO	58.160619	9.786192	9500	N	TESPI	55.898333	10.531111	3500	Y
AAL	57.103742	9.995581	14	Z716	H				0	N	VAXIT	56.537500	5.000000	24500	Y
AALIX	48.504414	-121.756347	14	T332	L	BAALE	48.445161	-121.415667	10000	Y	CRNEL	48.472069	-122.222400	7200	Y
AALYS	44.673181	-69.069661	14	T295	L	BGR	44.841794	-68.873967	2800	Y	RAZZR	44.221253	-69.586736	3000	Y
AAMYY	51.399931	171.553728	14	R451	H	WALLT	51.781306	174.882500	18000	Y	POWAL	50.174575	165.123283	18000	Y
AANTS	38.718656	-78.462647	14	T356	L	HOAGE	39.128600	-78.086781	2400	Y	KERRE	38.641939	-78.532383	5000	Y
AANTS	38.718656	-78.462647	14	T358	L	HOAGE	39.128600	-78.086781	2400	Y	KERRE	38.641939	-78.532383	5000	Y
AANTS	38.718656	-78.462647	14	V143	L	HOAGE	39.128600	-78.086781	6000	Y	KERRE	38.641939	-78.532383	6000	Y
AANTS	38.718656	-78.462647	14	V286	L	CSN	38.641203	-77.865500	3000	Y	TEAKK	38.789083	-79.028650	6500	Y
AANTS	38.718656	-78.462647	14	V3	L	HOAGE	39.128600	-78.086781	6000	Y	KERRE	38.641939	-78.532383	6000	Y
AANTS	38.718656	-78.462647	14	V39	L	HOAGE	39.128600	-78.086781	6000	Y	KERRE	38.641939	-78.532383	6000	Y
AAR	30.908028	41.142167	14	B411	B	MURIB	31.210278	41.843333	16000	Y	KAVID	30.597778	40.196389	12000	Y
AAR	30.908028	41.142167	14	L768	B	RAF	29.620194	43.497972	16000	N	OVANO	31.800278	39.164167	16000	Y
AAR	30.908028	41.142167	14	V13	B				0	N	GADLI	30.386667	40.639167	12000	Y
AAR	30.908028	41.142167	14	V16	B				0	N	DELNI	30.080000	41.274167	12000	Y
AAR	30.908028	41.142167	14	V45	B	RAGED	30.088333	42.196944	12500	Y	BONIS	31.432778	39.553611	12500	Y
AAR	31.728028	74.785917	14	A456	B				0	N	RABAN	31.592222	74.580833	10500	Y
AAR	31.728028	74.785917	14	W21	B	KIKED	31.880278	75.512500	20000	Y	ASARI	30.804167	75.158611	8500	Y
AAR	31.728028	74.785917	14	W25	L				0	N	BOLUX	30.787222	75.073889	12500	Y
AAR	31.728028	74.785917	14	W36	B				0	N	ANPOL	31.268333	75.310278	7500	Y
AARES	20.998611	-157.095000	14	T340	L	CHAIN	20.972994	-156.925761	5500	Y	HLONO	21.038467	-157.248292	2800	Y
AARNN	36.378775	-78.017792	14	Q113	H	RIDDN	36.789219	-77.763969	0	Y	MARCL	35.731781	-78.429603	18000	Y
AARNN	36.378775	-78.017792	14	Q129	H	THEOO	37.592967	-78.122286	18000	Y	YERBA	35.316897	-77.929061	18000	Y
AAT	23.890417	91.238639	14	A201	H	TEBUL	23.607500	92.626389	27000	Y	BOGEP	24.068889	90.413889	26500	Y
AAT	23.890417	91.238639	14	B593	B	IKIPI	24.556039	91.340192	7500	Y	CML	23.433333	91.190250	7500	Y
AAT	23.890417	91.238639	14	R472	B				0	N	DOXAG	23.973536	91.287706	7500	N
AAT	23.890417	91.238639	14	W54	B	MEPAR	24.000833	91.863611	11000	Y				0	N
AAT	23.890417	91.238639	14	W55	B	MEPAR	24.000833	91.863611	10500	Y				0	N
AAT	23.890417	91.238639	14	W84	B	MEPAR	24.000833	91.863611	11000	Y				0	N
AAU	19.860889	75.406056	14	G450	B	DUBOX	20.370833	76.832222	8000	Y	OPAKA	19.605833	74.549444	8000	Y
AAU	19.860889	75.406056	14	J19	H				0	N	PUNOR	20.660833	74.782500	21000	Y
AAU	19.860889	75.406056	14	J5	H				0	N	UBSAB	19.232778	75.130278	26000	Y
AAU	19.860889	75.406056	14	J70	B				0	N	OJR	20.124194	73.930194	11000	Y
AAU	19.860889	75.406056	14	L301	H	ASOGA	19.542500	76.832222	26000	Y	AKTIV	20.248056	73.258333	26000	Y
AAU	19.860889	75.406056	14	W146	H	OSBEM	20.916667	76.000000	20000	N				0	N
AAU	19.860889	75.406056	14	W152	B				0	N	OJR	20.124194	73.930194	10000	Y
AAU	19.860889	75.406056	14	W75	B	NONEN	20.295833	75.495000	7500	Y	MELAX	19.498611	75.632500	11000	Y
AAU	19.860889	75.406056	14	W79	B	NONEN	20.295833	75.495000	11000	Y				0	N
AAYDE	43.242342	-90.849275	14	T348	L	JOOHR	43.215561	-90.402089	3000	Y	BEENZ	43.251169	-90.998969	3000	Y
ABA	-34.952167	117.810528	14	V408	L				0	N	ARUMI	-34.594306	117.382222	NESTB	N
ABA	-34.952167	117.810528	14	W185	L				0	N	PAVSO	-34.464917	117.657944	NESTB	Y
ABA	-34.952167	117.810528	14	W486	L	HOODY	-34.415000	119.576667	NESTB	Y				0	N
ABA	12.505667	-69.943111	14	A567	L	NOREX	12.311417	-70.062028	7000	Y	MOBAM	12.915806	-69.955667	3000	Y
ABA	12.505667	-69.943111	14	A574	L	ADRIV	12.394942	-69.603381	3000	Y	DATOR	12.409750	-70.270361	5000	Y
ABA	12.505667	-69.943111	14	G442	L	ALCOT	11.911389	-69.260278	3000	Y	TETUM	12.801944	-70.311944	3000	Y
ABA	12.505667	-69.943111	14	G885	L	APNUT	12.760478	-69.680558	3000	Y				0	N
ABA	12.505667	-69.943111	14	R568	L				0	N	ITSEL	12.283083	-70.000000	5000	Y
ABA	12.505667	-69.943111	14	UG885	H	ONDAS	13.041389	-69.390278	19500	Y				0	N
ABA	12.505667	-69.943111	14	UL220	H	PJG	12.197056	-69.011889	0	Y	DATOR	12.409750	-70.270361	19500	Y
ABA	12.505667	-69.943111	14	UL332	H	ALCOT	11.911389	-69.260278	25000	Y	GADGO	13.000556	-70.558611	19500	Y
ABA	12.505667	-69.943111	14	UL450	H	ATUBI	14.116111	-69.992500	19500	Y	NOREX	12.311417	-70.062028	19500	Y
ABA	12.505667	-69.943111	14	UL468	H				0	N	FARBS	13.587778	-70.316389	29000	Y
ABA	12.505667	-69.943111	14	UL674	H				0	N	DENSU	12.945556	-70.581389	29000	Y
ABABO	53.922222	39.478056	14	T559	B	RAMUT	53.760000	39.773333	13500	N	OLOPI	54.233333	38.898056	13500	Y
ABADE	-7.175278	139.584167	14	Z687	L	MARBU	-6.541944	139.331389	1500	Y	MKE	-8.522611	140.417111	2000	Y
ABADI	40.755278	18.641667	14	P92	L	PAPIZ	40.891667	18.951667	11500	Y	KAPPO	40.610833	18.002778	10000	Y
ABAGA	73.277778	124.843056	14	N989	H	RANEN	73.901389	125.486944	26500	Y	NESPA	71.900833	123.568056	26500	Y
ABAGA	73.277778	124.843056	14	T659	H	GIKSI	71.695833	128.901944	0	Y	ROREP	73.549444	124.044167	27500	Y
ABAGI	53.676944	42.676667	14	B105	B	PELNE	53.136389	43.064167	13500	Y				0	N
ABAGI	53.676944	42.676667	14	M56	B	PISAR	53.483889	43.872222	6500	Y	DEDUG	53.838611	41.752500	10500	N
ABAGI	53.676944	42.676667	14	T347	B				0	N	BITKO	54.700556	42.678333	9500	Y
ABAGI	53.676944	42.676667	14	T662	B	LADOD	53.837222	44.121111	6500	Y	IDGEK	53.919444	42.411944	6500	N
ABAGI	53.676944	42.676667	14	T794	B	IPLEG	53.752222	44.427222	6500	Y				0	N
ABAGI	53.676944	42.676667	14	W21	B	PELNE	53.136389	43.064167	13500	Y				0	N
ABAGO	56.291944	144.238333	14	A218	L	OKRUS	58.765278	147.701944	9500	Y	MOLUT	55.211944	142.928333	7500	Y
ABAGO	56.291944	144.238333	14	G902	H	RITMI	57.665278	146.831667	26500	Y	LADES	55.999444	142.950000	27500	Y
ABAGO	56.291944	144.238333	14	L160	H	OKRUS	58.765278	147.701944	26500	Y	MOLUT	55.211944	142.928333	26500	Y
ABAKO	37.183889	16.666111	14	M600	L				0	N	ERNAM	36.858333	16.162500	12000	Y
ABAKU	51.676944	19.081389	14	N871	B	POLON	51.800000	19.656111	10000	Y	OKENO	51.569722	18.593889	11000	N
ABALA	66.658333	23.000000	14	T400	L	NEBET	67.034722	23.716944	0	N	LAMOS	65.804722	21.948056	9500	Y
ABALI	55.545278	68.020556	14	L158	B	PEMAG	55.563611	69.193889	26500	Y	ARLAD	55.510278	66.361944	7500	Y
ABALI	55.545278	68.020556	14	N987	B	LETIK	55.200000	68.533333	12000	Y	KEROM	56.013611	67.295278	8500	Y
ABALI	55.545278	68.020556	14	T762	B				0	N	MILSU	55.653056	66.312500	6500	N
ABALI	55.545278	68.020556	14	T763	B				0	N	AGMIL	55.150000	65.729722	14500	Y
ABALO	32.331111	-18.130278	14	UM190	H	PELUS	33.445278	-17.071111	19500	Y				0	N
ABALO	32.331111	-18.130278	14	UQ11	H	SNT	33.090417	-16.350639	19500	Y				0	N
ABALO	32.331111	-18.130278	14	UZ220	H	NIDUL	32.365278	-17.353056	0	Y				0	N
ABALO	32.331111	-18.130278	14	Z220	L	NIDUL	32.365278	-17.353056	0	Y				0	N
ABALU	50.919167	37.285556	14	L4	B	ABDON	51.075833	37.406389	9500	Y	KUBOK	50.316667	36.828333	9500	Y
ABAMA	57.986667	15.569722	14	N850	B	MOKNI	57.646389	15.068056	9500	Y	TONSA	58.609167	16.520278	9500	N
ABAMI	51.425000	7.280556	14	Z717	L	IRBUP	51.490556	7.477222	11500	Y	NEREL	51.087500	6.563056	11500	Y
ABANG	5.876389	95.337500	14	Z3	L	BAC	5.522639	95.422306	9000	Y				0	N
ABANI	41.212806	64.910889	14	T186	B	EKPAK	40.865250	65.095194	2600	Y	LAPZE	41.759722	64.616528	3000	Y
ABANN	21.984444	-85.106667	14	G765	L	VEGAR	21.903056	-85.211667	8000	Y	PODON	22.651667	-84.250556	8000	Y
